Art_Title,Department,Submission_Date,Artist,Nationality,Gender,Birth,Death
Adam,Drawings,1916,Amedeo Modigliani,Italian,Male,1884,1920
Untitled from Pisueña,Prints & Illustrated Books,2009,Juan Uslé,Spanish,Male,1954,1975
Roberta's Excorcism Flower Arrangements,Photography,1978,Lynn Hershman Leeson,American,Female,1941,1975
(Number 1 of a newspaper campaign),Architecture & Design,1964,Karl Gerstner,Swiss,Male,1930,1975
Untitled,Photography,1958,Nathan Lyons,American,Male,1930,2016
Femme de Verrières,Photography,1899,Eugène Atget,French,Male,1857,1927
Public Sculptures in Public Places,Architecture & Design,1967,Bob Cato,Nationality unknown,Male,1923,1975
Double page plate (pages 20 and 21) from TAGEBÜCHER,Prints & Illustrated Books,1988,Antonio Saura,Spanish,Male,1930,1998
Plate (page 215) from LES PETITES FLEURS,Prints & Illustrated Books,1928,Émile Bernard,French,Male,1868,1941
Untitled from the series 'Ten Thousand Things That Breathe',Drawings,2003,Renato Orara,American,Male,1961,1975
Jardin de Luxembourg,Drawings,1923,Pavel Tchelitchew,American,Male,1898,1957
Vocal Group Niji,Architecture & Design,1964,Tadanori Yokoo,Japanese,Male,1936,1975
Untitled,Photography,1900,Unknown,Unknown,Unknown,1915,1975
Sex Pistols Flyer,Architecture & Design,1975,Jamie Reid,British,Male,1947,1975
Milk Stone,Painting & Sculpture,1978,Wolfgang Laib,German,Male,1950,1975
"ECCE HOMO, plate XVIII (folio 21) from SCÈNES DE LA VIE DU CHRIST",Prints & Illustrated Books,1917,James Ensor,Belgian,Male,1860,1949
(Portrait),Photography,1861,Alfred Capel Cure,British,Male,1826,1896
Upholstery Material,Architecture & Design,1929,Anni Albers,American,Female,1899,1994
Double page fold-out plate (folios 17 and 18) from PICCOLO CIRCOLO CHIUSO,Prints & Illustrated Books,1991,Mimmo Paladino,Italian,Male,1948,1975
The Unfinished Conversation,Media and Performance Art,2012,John Akomfrah,British,Male,1957,1975
In-text plate (page 138) from CIRQUE DE L'ÉTOILE FILANTE,Prints & Illustrated Books,1932,Georges Rouault,French,Male,1871,1958
Nancy,Photography,1982,Nancy Hellebrand,American,Female,1944,1975
Untitled. (man with a fish),Photography,1963,Dorothea Lange,American,Female,1895,1965
TARGET from an untitled portfolio,Prints & Illustrated Books,1962,Ronald Markman,American,Male,1931,1975
Schema I: Construction of Axes of a Model; Schema II: Cubist Structure (Construction); and Schema III: Cubist Constructed Drawing from On New Systems in Art (O Novykh Sistemakh Visk Usstve),Prints & Illustrated Books,1919,Kazimir Malevich,Russian,Male,1878,1935
Light Trails,Media and Performance Art,1970,William Wegman,American,Male,1943,1975
